Id,Nombre,Apellidos,SalarioMensual,Deudas,RetencionFuente,Correo,Telefono,Cargo
29077,Raul,Gutierrez,1303792,True,0.1,bbbb@hotmail.com,4833333,desarrollador junior
344834,Kelly,Gomez,1463887,True,0.1,aaaa@hotmail.com,4630063,arquitecto
489258,Ana,Montoya,2241936,True,0.1,bbbb@hotmail.com,4747418,desarrollador junior
137562,Raul,Gomez,4544716,True,0.1,aaaa@hotmail.com,4623749,desarrollador senior
38750,Veronica,Peralta,4553735,True,0.1,aaaa@hotmail.com,5063764,desarrollador junior
221903,Veronica,Gomez,4993925,True,0.1,aaaa@hotmail.com,5021726,desarrollador senior
367409,Veronica,Gonzalez,4800752,True,0.1,cccc@hotmail.com,4758778,desarrollador senior
171170,Kelly,Gonzalez,1667051,True,0.1,dddd@hotmail.com,4702037,desarrollador senior
124033,Kelly,Peralta,3692190,True,0.1,dddd@hotmail.com,4745007,desarrollador senior
254333,Veronica,Perez,1562310,True,0.1,bbbb@hotmail.com,4984910,desarrollador junior
309633,Pablo,Gonzalez,4527273,True,0.1,bbbb@hotmail.com,4954995,arquitecto
239753,Raul,Montoya,4479661,True,0.1,bbbb@hotmail.com,4718743,desarrollador senior
137218,Andres,Gonzalez,4043937,True,0.1,aaaa@hotmail.com,5071933,arquitecto
353784,Pablo,Perez,4641392,True,0.1,aaaa@hotmail.com,4729484,desarrollador senior
13610,Pablo,Gutierrez,4569475,True,0.1,dddd@hotmail.com,4889711,arquitecto
116006,Andres,Montoya,1153523,True,0.1,aaaa@hotmail.com,5016528,desarrollador junior
300748,Andres,Gutierrez,3425770,True,0.1,dddd@hotmail.com,5055001,arquitecto
274203,Kelly,Urrego,2653175,True,0.1,bbbb@hotmail.com,4986175,desarrollador senior
114419,Juan,Gomez,3037405,True,0.1,bbbb@hotmail.com,4643712,desarrollador senior
96046,Kelly,Montoya,1135299,True,0.1,aaaa@hotmail.com,4751329,desarrollador senior
22767,Veronica,Perez,1354638,True,0.1,bbbb@hotmail.com,5022255,desarrollador senior
71322,Ana,Gonzalez,1136731,True,0.1,cccc@hotmail.com,4847772,arquitecto
300694,Juan,Gomez,4361353,True,0.1,bbbb@hotmail.com,5022173,desarrollador junior
403087,Andres,Peralta,2314211,True,0.1,aaaa@hotmail.com,5010110,desarrollador junior
32,Raul,Gonzalez,4961486,True,0.1,dddd@hotmail.com,4971415,arquitecto
148654,Veronica,Gomez,4875973,True,0.1,bbbb@hotmail.com,4861547,arquitecto
443660,Juan,Peralta,2801352,True,0.1,aaaa@hotmail.com,4962411,desarrollador junior
252275,Raul,Gonzalez,4650179,True,0.1,cccc@hotmail.com,4636001,arquitecto
41174,Manuela,Perez,2898075,True,0.1,bbbb@hotmail.com,4610162,desarrollador junior
36969,Ana,Gomez,4239869,True,0.1,aaaa@hotmail.com,4668587,desarrollador senior
495691,Veronica,Montoya,3330007,True,0.1,cccc@hotmail.com,4658504,desarrollador junior
122314,Mauricio,Perez,2877341,True,0.1,aaaa@hotmail.com,5071361,arquitecto
249131,Kelly,Peralta,3826938,True,0.1,aaaa@hotmail.com,4673868,desarrollador senior
292784,Manuela,Urrego,1116975,True,0.1,aaaa@hotmail.com,4754495,desarrollador junior
129244,Kelly,Peralta,3565292,True,0.1,bbbb@hotmail.com,4768313,desarrollador senior
73467,Veronica,Gonzalez,3134120,True,0.1,cccc@hotmail.com,4692799,desarrollador senior
89211,Isabel,Gonzalez,1881254,True,0.1,cccc@hotmail.com,5049076,desarrollador junior
446854,Juan,Perez,3568772,True,0.1,cccc@hotmail.com,4853746,desarrollador senior
85517,Manuela,Montoya,2058393,True,0.1,bbbb@hotmail.com,4991148,desarrollador junior
284516,Kelly,Gutierrez,3053885,True,0.1,cccc@hotmail.com,4715203,desarrollador junior
395030,Manuela,Urrego,1406951,True,0.1,bbbb@hotmail.com,5025855,desarrollador senior
132556,Raul,Gonzalez,4307572,True,0.1,aaaa@hotmail.com,4929332,arquitecto
168230,Veronica,Gonzalez,2631770,True,0.1,dddd@hotmail.com,4876826,desarrollador senior
291496,Manuela,Peralta,3081180,True,0.1,bbbb@hotmail.com,4775960,desarrollador senior
335558,Isabel,Peralta,1903396,True,0.1,cccc@hotmail.com,4730526,arquitecto
321912,Pablo,Gonzalez,2147531,True,0.1,cccc@hotmail.com,4747835,desarrollador senior
134140,Manuela,Urrego,4976226,True,0.1,dddd@hotmail.com,4770754,desarrollador junior
162765,Pablo,Gomez,3765561,True,0.1,bbbb@hotmail.com,5003615,desarrollador senior
427366,Juan,Peralta,4957404,True,0.1,bbbb@hotmail.com,4766986,desarrollador junior
116701,Manuela,Perez,2115720,True,0.1,bbbb@hotmail.com,4740378,desarrollador junior
486391,Isabel,Perez,2854993,True,0.1,dddd@hotmail.com,4972203,desarrollador junior
199927,Juan,Gonzalez,2469472,True,0.1,aaaa@hotmail.com,4776787,arquitecto
487985,Mauricio,Perez,1668648,True,0.1,dddd@hotmail.com,4665642,desarrollador junior
93292,Manuela,Gonzalez,4229635,True,0.1,aaaa@hotmail.com,5072192,arquitecto
292487,Manuela,Perez,2686348,True,0.1,bbbb@hotmail.com,4635331,arquitecto
264141,Raul,Urrego,4134809,True,0.1,bbbb@hotmail.com,4621557,desarrollador junior
162555,Kelly,Gomez,1346580,True,0.1,dddd@hotmail.com,4833892,desarrollador senior
2716,Isabel,Montoya,3613114,True,0.1,bbbb@hotmail.com,4925353,desarrollador senior
155298,Ana,Gomez,3733213,True,0.1,cccc@hotmail.com,5009039,desarrollador junior
223126,Andres,Urrego,1064712,True,0.1,cccc@hotmail.com,4828227,desarrollador senior
71584,Raul,Perez,3964943,True,0.1,aaaa@hotmail.com,4862218,desarrollador senior
31515,Ana,Gutierrez,3959964,True,0.1,cccc@hotmail.com,4619963,desarrollador junior
315956,Andres,Urrego,3744827,True,0.1,bbbb@hotmail.com,4742816,desarrollador junior
270182,Manuela,Montoya,2552664,True,0.1,dddd@hotmail.com,4865239,desarrollador senior
24191,Manuela,Gonzalez,2173391,True,0.1,dddd@hotmail.com,4702673,desarrollador junior
196234,Manuela,Montoya,2117726,True,0.1,aaaa@hotmail.com,4775845,arquitecto
421626,Veronica,Gonzalez,1790755,True,0.1,aaaa@hotmail.com,5045229,desarrollador senior
11786,Kelly,Gomez,2395188,True,0.1,dddd@hotmail.com,4678630,arquitecto
263857,Mauricio,Gutierrez,2601096,True,0.1,bbbb@hotmail.com,5045431,desarrollador junior
145510,Juan,Montoya,2118701,True,0.1,cccc@hotmail.com,5070447,arquitecto
312750,Andres,Montoya,4698472,True,0.1,bbbb@hotmail.com,4684343,desarrollador senior
89111,Ana,Montoya,2704867,True,0.1,bbbb@hotmail.com,4630652,arquitecto
369992,Pablo,Gutierrez,4003384,True,0.1,cccc@hotmail.com,5031770,desarrollador senior
257181,Raul,Urrego,4587890,True,0.1,dddd@hotmail.com,4872698,desarrollador senior
348899,Manuela,Gutierrez,2192770,True,0.1,bbbb@hotmail.com,4800780,arquitecto
148446,Veronica,Montoya,1790295,True,0.1,cccc@hotmail.com,4931095,desarrollador senior
